Sähkö-Isku	Sata Kaljaa	Suomi				
Tangokuninkaat	Tangokuninkaat	Suomi	Kokoelma			
Tchaikovsky	The Nutcracker	Klassinen				
Teksti-TV 666	"1, 2, 3"	Suomi				
Ti-Ti Nalle	Ti-Ti Nallen Lauluja 1	Suomi				
Tierra	City Lights			Pöpilä		
Tikanmäki, Anssi	Vanhat Valokuvat	Suomi				
Tikanmäki, Anssi	Maisemakuvia Suomesta	Suomi				
Toivelauluja 3	Toivelauluja 3	Suomi	Kokoelma			
Top Ranking Eric & The Astronauts	In Babylon	Suomi				
Torvela, Eila	Hulivilityttö	Suomi		Pöpilä		
Trio	Trio					
Tuomas Henrikin Jeesuksen Kristuksen Bändi	Vade Retro Satanus II	Suomi				
TV Räjähtää	15 Suomalaista Rokkia	Suomi	Kokoelma			
Täysosumat	14 Päivän Hittiä	Suomi	Kokoelma			
Uriah Heep	The Magicians Birthday					
Ursus Factory	Älä Lopeta Uskomista Rakkauteen Baby	Suomi				
Village People	Go West					
Vivaldi	Vuodenajat	Klassinen				
Willis, Bruce	The Return of Bruno					
Wipers	Youth Of America					
Worrell, Bernie	All The Woo In The World			Pöpilä		
Ylioppilaskunnan Laulajat	Joululaulattaa	Suomi	Kokoelma	Pöpilä	Joulu	
Young, Neil	After The Gold Rush					
Young, Neil	Hawks & Doves					
Young, Neil	On The Beach					
ZZ Top	Afterburner					
